P-Strategy D-H13 D-S13 D-H14 D-S14 D-H15 D-S15 D-H16 D-S16 D-H17 D-S17 D-H18 D-S18 D-H19 D-S19 D-H20 D-S20
P-H13 38 49 40 41 29 38 42 41 41 40 42 49 50 57 59 62
P-S13 34 32 41 44 43 42 40 34 38 41 51 47 60 54 63 60
P-H14 50 47 43 38 43 28 42 43 42 47 48 44 45 57 65 62
P-S14 47 62 48 38 47 47 38 45 43 36 52 43 45 52 56 56
P-H15 63 55 45 54 42 39 36 37 34 48 50 45 45 55 56 54
P-S15 44 50 51 56 37 54 38 46 49 40 40 39 49 54 62 62
P-H16 52 58 56 49 39 41 42 45 46 47 45 49 45 47 50 55
P-S16 51 56 50 56 48 41 44 44 43 34 45 39 41 40 56 48
P-H17 54 51 47 49 39 51 45 38 39 38 34 42 49 41 45 43
P-S17 54 59 55 41 44 45 41 48 38 39 44 34 42 46 45 53
P-H18 48 42 52 42 44 41 38 46 47 43 33 30 39 29 38 41
P-S18 43 49 48 39 39 41 35 36 37 44 42 37 36 41 46 49
P-H19 47 41 50 43 40 32 36 40 28 35 36 25 29 33 38 35
P-S19 51 40 33 39 39 40 30 33 29 38 36 25 33 32 25 37
P-H20 25 22 32 30 31 35 33 28 27 19 25 31 31 24 26 28
P-S20 26 39 38 25 24 35 32 28 24 30 29 28 28 34 27 25
